ResponseId,PMC_K,PMC_H,PMC_FINAL,Morals_Prosocial_K,Morals_Prosocial_H,Morals_Prosocial_FINAL,Integration of Morals_PMC_K,Integration of Morals_PMC_H,Integration of Morals_PMC_FINAL,morality_irrelevant_K,morality_irrelevant_H,morality_irrelevant_FINAL,lacks_moral_behaviour_K,lacks_moral_behaviour_H,lacks_moral_behaviour_FINAL,Variable_process_engagement_K,Variable_process_engagement_H,Variable_process_engagement_FINAL,Ignores_emotion_K,Ignores_emotion_H,Ignores_emotion_FINAL,Needs_behaviour_K,Needs_behaviour_H,Needs_behaviour_FINAL,no_contemplative_traditions_K,no_contemplative_traditions_H,no_contemplative_traditions_FINAL,AR_K,AR_H,AR_FINAL,U_K,U_H,U_FINAL,MBR_K,MBR_H,MBR_FINAL,CCOMPETENCE_K,CCOMPETENCE_H,CCOMPETENCE_FINAL
R_DeCfrcEBlZjk2nD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,1,1,1
R_3jYE5vFuWhpV8rH,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,1,1,1
R_291fEHFTI40Olla,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,0
R_V296jSdgKSf1Q41,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
R_3q0nla6hA2XBphD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_C4Fh1N1JtqklC37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2VgZ8RGiWndMczF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1EbzsOsMNIMcYT9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_12GcTct27RPS3tO,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,0,0,0,0
R_1Kx9ADaEBDxI2m5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1FIH7xBsgynwAX4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,0,0,0,1,1,1
R_bNIV92skSjtreWl,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0
R_3fq4TVYfv2O7kzh,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0
R_1FhL3qJZkUQcell,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,1,1,1,0,0
R_vHOhizRzcr7UAtb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2B42lbwRTpE3ehM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1dgF3eO56e49qFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,0,0,0,1,1,1
R_1Lciz27Ae6SaQ8r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1Cd0hiUwT7FWITp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3F4EkBVQYoauKap,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
R_d7hg7GI6CAFFzeV,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,1,1,1
R_0dNiOO0GCnLW6zv,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,0,0,0,1,1,1
R_RkNjtEVJok8tZZv,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0
R_290N89LILZshb1P,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0
R_3gXIVolTT8Kqknu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2YmHv6iB6UgxNFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0
R_2rZz7H3NtqSF7u5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_SOV8vlE5vX2juPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_22AmzZtmEWL396o,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,1,1
R_0UHTDpcW9XtaDa9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0
R_1pmLidTRmnB2i7v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_sp272r5rh5MXsMp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_781TKqjMrFi1LB7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,1,1,1
R_2E50rIQlTUPpMFY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_bDdNoWrC3tSnBJL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_DoOO9pyx5nMfk77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1MMPSN28kVBNTN7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_T1PHEcafCn91xKx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_12a2sYwBytY3pwj,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0
R_1jHrylszG7fdf9B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1lrDAoVyefgrXUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_25Acm9pT40WDGZz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1
R_1MLb7JP0R31iun7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2EbFEBe2QJHxRVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,1,1,1,1,1
R_1eVMEV4a8nYscxq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1rNSs47thV39mEz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_Rrvmeelho0qnY8F,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,0
R_VL9FOfqBu1ppsXf,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,0,0,0,0,0,0
R_2SjjhzCaNDX5YmZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3MSCwDqdAiZukAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0
R_1ojSIdvzQEC8yrh,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
R_zS6NvCOTwpomSqt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3JIOAgirkPlVrEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2PuQop65qdYytLn,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
R_1kTwkfiNtBRt7Wj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1hLu05DCnaRz79k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3DhbUxIrCAROY2U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_R4fuzYeuqgVEYQp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_31t1ullfCxgUpqJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_OCe8IdUprZjvoC5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1gCSr9iPyvzColS,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,1,1,1,1,1,1
R_3PHlyysKz72mQgC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1CBzOGczm8rJwKO,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
R_DHt3WkPcS9yqcaB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2XdqUYSGdFotixV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
R_3NVZVWDv5aSxMoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2DML571qZ1vHlLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2earSOLyUyfk0xx,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0
R_2Yyqcauz5Sta9ud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1hEIbdQdCeAxeON,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_2Xgl3JsXhZSQG1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0kPhtL9jxLScmWJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,1,1,1
R_xnZC7w2RxDSh2jn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3JlRL3GAP3dnuT6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0
R_Dw7GhhdNE7M7W4F,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
R_2X71No1TLOm6pU2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_296OFkbyt3qaWOk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1feYHicecdVuiSB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1OwBS8HlclzErNc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2BhYIgXODzSPbmb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2ZWbevaWewbz4vp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1mUhJYWfPPQdKE6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,0,0,0,0,0,0
R_2QKEhIE1kvh6PyP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2rj84QQw8jQZW6t,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,0,0,0,1,1,1
R_1f17VlGGKZWboAg,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,1,1,1
R_3EmxciyPd5HV0kK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1OACKJihj4ebqlL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5jsSh3YbfdjwKop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1exkUwpyqJE9QKP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2WwLWthy5YATZoq,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
R_3QKQmQ1zZN6LBk1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_21yTZHeLTatX2iS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3e9OWqyjzFZnXZb,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0
R_3QEEIICQE3nX1XB,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
R_2AL1DanveT8vFTt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_dmdMLFkK11hWuzv,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
R_pz9qRAfFOTcdl2F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1QMm30nEjLStwxU,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,1,1,1
R_1P7ScTZWp05YNEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3PYul9QEV8VAmKs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_rqeOgQQ1WKvzEjv,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
R_ue3dMEEwOnUNTsR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1GvLPyqvDkPtlIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0
R_wT9aOrdZvEsqfx7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3rZe20hDDSHFjga,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
R_WcAxuOYGKx5HBDj,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,1,1,1
R_3e8KDBRnhndosMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,0,0,0,0,0,0
R_3hc4kCMhAZPcwdQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2Y8KKaJFkZQEhrK,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0
R_yU3kknLzTGNFuhj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_Yb0YSfZWoVueYWB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2WuSQx5SybyLPf9,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,0,0,,0,0,,0,0,,0,0
R_248ySBRq99Co2qz,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,0,0,0,0,0,0
R_2zGy8cKFOVEEytd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1GlQVgjbkRxmPXr,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,0,0,0,0,0,0
R_1hKXrHDWIyBmPqG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2c9R8WRjdjBmTDz,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,1,1,0,0,0
R_1mgCUj7AlaAMzak,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0
R_2QoicWQsmea0k6I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3neLJa1e61KFF7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,0,0,1,1,1
R_1dN4JxsnFrxGF3k,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,0,0,0,0,0,0,0
R_1LuJJEbHDIl8vgA,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1
R_2bNP1uzQPThc7x9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,0,0,0,0,0,0
R_28HcG4dGnw6CMfn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1GIjFyPNrHA1KG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
